question_number,consultation_theme,working_answer,evidence_or_operating_example,quantified_impact,practical_alternative,owner,review_status,next_action,source_url,source_checked_on,published_response_deadline,reuse_notice,question_wording_basis
1,Organisation name,,,,,,Not started,Add the responding legal entity or representative body,https://www.gov.uk/government/consultations/introduction-of-mandatory-registration-for-customs-intermediaries/customs-intermediaries-introduction-of-mandatory-registration,2026-09-16,2026-09-21,Dated source record - not live status or current law. Check the official page for current status deadline and submission instructions before sending or reuse.,Theme paraphrase - use the official question and quoted Markdown worksheet
2,Business type,,,,,,Not started,Describe the operating model in plain language,https://www.gov.uk/government/consultations/introduction-of-mandatory-registration-for-customs-intermediaries/customs-intermediaries-introduction-of-mandatory-registration,2026-09-16,2026-09-21,Dated source record - not live status or current law. Check the official page for current status deadline and submission instructions before sending or reuse.,Theme paraphrase - use the official question and quoted Markdown worksheet
3,Annual movements and direction,,,,,,Not started,Add an evidenced range for imports exports or both,https://www.gov.uk/government/consultations/introduction-of-mandatory-registration-for-customs-intermediaries/customs-intermediaries-introduction-of-mandatory-registration,2026-09-16,2026-09-21,Dated source record - not live status or current law. Check the official page for current status deadline and submission instructions before sending or reuse.,Theme paraphrase - use the official question and quoted Markdown worksheet
4,Intermediary type and activities,,,,,,Not started,Map every relevant role and separate advice-only activity,https://www.gov.uk/government/consultations/introduction-of-mandatory-registration-for-customs-intermediaries/customs-intermediaries-introduction-of-mandatory-registration,2026-09-16,2026-09-21,Dated source record - not live status or current law. Check the official page for current status deadline and submission instructions before sending or reuse.,Theme paraphrase - use the official question and quoted Markdown worksheet
5,Business size,,,,,,Not started,Confirm the employee-size band used by the consultation,https://www.gov.uk/government/consultations/introduction-of-mandatory-registration-for-customs-intermediaries/customs-intermediaries-introduction-of-mandatory-registration,2026-09-16,2026-09-21,Dated source record - not live status or current law. Check the official page for current status deadline and submission instructions before sending or reuse.,Theme paraphrase - use the official question and quoted Markdown worksheet
6,Time operating in trade or customs,,,,,,Not started,Confirm the relevant operating history,https://www.gov.uk/government/consultations/introduction-of-mandatory-registration-for-customs-intermediaries/customs-intermediaries-introduction-of-mandatory-registration,2026-09-16,2026-09-21,Dated source record - not live status or current law. Check the official page for current status deadline and submission instructions before sending or reuse.,Theme paraphrase - use the official question and quoted Markdown worksheet
7,Benefits and challenges of mandatory registration,,,,,,Not started,Add one benefit and one operational challenge supported by examples,https://www.gov.uk/government/consultations/introduction-of-mandatory-registration-for-customs-intermediaries/customs-intermediaries-introduction-of-mandatory-registration,2026-09-16,2026-09-21,Dated source record - not live status or current law. Check the official page for current status deadline and submission instructions before sending or reuse.,Theme paraphrase - use the official question and quoted Markdown worksheet
8,Proposed scope and exclusions,,,,,,Not started,Map affected entities activities and edge cases,https://www.gov.uk/government/consultations/introduction-of-mandatory-registration-for-customs-intermediaries/customs-intermediaries-introduction-of-mandatory-registration,2026-09-16,2026-09-21,Dated source record - not live status or current law. Check the official page for current status deadline and submission instructions before sending or reuse.,Theme paraphrase - use the official question and quoted Markdown worksheet
9,Minimum requirements and proportionality,,,,,,Not started,Compare each proposal with evidence already maintained,https://www.gov.uk/government/consultations/introduction-of-mandatory-registration-for-customs-intermediaries/customs-intermediaries-introduction-of-mandatory-registration,2026-09-16,2026-09-21,Dated source record - not live status or current law. Check the official page for current status deadline and submission instructions before sending or reuse.,Theme paraphrase - use the official question and quoted Markdown worksheet
10,Graduated enforcement approach,,,,,,Not started,Test remediation suspension escalation review and appeal scenarios,https://www.gov.uk/government/consultations/introduction-of-mandatory-registration-for-customs-intermediaries/customs-intermediaries-introduction-of-mandatory-registration,2026-09-16,2026-09-21,Dated source record - not live status or current law. Check the official page for current status deadline and submission instructions before sending or reuse.,Theme paraphrase - use the official question and quoted Markdown worksheet
11,Transitional period,,,,,,Not started,Estimate implementation steps dependencies and elapsed time,https://www.gov.uk/government/consultations/introduction-of-mandatory-registration-for-customs-intermediaries/customs-intermediaries-introduction-of-mandatory-registration,2026-09-16,2026-09-21,Dated source record - not live status or current law. Check the official page for current status deadline and submission instructions before sending or reuse.,Theme paraphrase - use the official question and quoted Markdown worksheet
12,Unintended consequences and trade impacts,,,,,,Not started,Record likely capacity cost competition or border-flow effects,https://www.gov.uk/government/consultations/introduction-of-mandatory-registration-for-customs-intermediaries/customs-intermediaries-introduction-of-mandatory-registration,2026-09-16,2026-09-21,Dated source record - not live status or current law. Check the official page for current status deadline and submission instructions before sending or reuse.,Theme paraphrase - use the official question and quoted Markdown worksheet
13,Other design considerations,,,,,,Not started,Propose practical implementation support or safeguards,https://www.gov.uk/government/consultations/introduction-of-mandatory-registration-for-customs-intermediaries/customs-intermediaries-introduction-of-mandatory-registration,2026-09-16,2026-09-21,Dated source record - not live status or current law. Check the official page for current status deadline and submission instructions before sending or reuse.,Theme paraphrase - use the official question and quoted Markdown worksheet
